mode: set
github.com/jyggen/go-metron/arc.go:19.35,21.2 1 0
github.com/jyggen/go-metron/client.go:84.2,84.10 1 1
github.com/jyggen/go-metron/client.go:87.66,88.25 1 1
github.com/jyggen/go-metron/client.go:88.25,91.3 2 1
github.com/jyggen/go-metron/client.go:94.42,95.25 1 0
github.com/jyggen/go-metron/client.go:95.25,98.3 2 0
github.com/jyggen/go-metron/client.go:101.45,102.25 1 1
github.com/jyggen/go-metron/client.go:102.25,104.3 1 1
github.com/jyggen/go-metron/client.go:107.34,108.25 1 1
github.com/jyggen/go-metron/client.go:108.25,110.3 1 1
github.com/jyggen/go-metron/client.go:113.118,114.41 1 1
github.com/jyggen/go-metron/client.go:114.41,119.17 3 1
github.com/jyggen/go-metron/client.go:119.17,122.4 2 0
github.com/jyggen/go-metron/client.go:124.3,126.7 2 1
github.com/jyggen/go-metron/client.go:126.7,129.18 2 1
github.com/jyggen/go-metron/client.go:129.18,132.5 2 0
github.com/jyggen/go-metron/client.go:134.4,134.35 1 1
github.com/jyggen/go-metron/client.go:134.35,135.23 1 1
github.com/jyggen/go-metron/client.go:135.23,137.6 1 0
github.com/jyggen/go-metron/client.go:140.4,140.25 1 1
github.com/jyggen/go-metron/client.go:140.25,141.10 1 1
github.com/jyggen/go-metron/client.go:144.4,146.18 2 1
github.com/jyggen/go-metron/client.go:146.18,149.5 2 0
github.com/jyggen/go-metron/client.go:151.4,151.17 1 1
github.com/jyggen/go-metron/client.go:156.57,159.22 2 1
github.com/jyggen/go-metron/client.go:159.22,162.14 2 0
github.com/jyggen/go-metron/client.go:162.14,164.4 1 0
github.com/jyggen/go-metron/client.go:166.3,166.24 1 0
github.com/jyggen/go-metron/client.go:169.2,171.16 2 1
github.com/jyggen/go-metron/client.go:171.16,173.3 1 0
github.com/jyggen/go-metron/client.go:175.2,177.37 2 1
github.com/jyggen/go-metron/client.go:177.37,179.3 1 0
github.com/jyggen/go-metron/client.go:181.2,183.16 2 1
github.com/jyggen/go-metron/client.go:183.16,185.3 1 0
github.com/jyggen/go-metron/client.go:187.2,189.15 2 1
github.com/jyggen/go-metron/client.go:192.96,197.16 3 1
github.com/jyggen/go-metron/client.go:197.16,199.3 1 0
github.com/jyggen/go-metron/client.go:201.2,203.28 2 1
github.com/jyggen/go-metron/client.go:203.28,205.3 1 0
github.com/jyggen/go-metron/client.go:207.2,213.16 4 1
github.com/jyggen/go-metron/client.go:213.16,215.3 1 0
github.com/jyggen/go-metron/client.go:217.2,221.25 4 1
github.com/jyggen/go-metron/creator.go:24.39,26.2 1 0
github.com/jyggen/go-metron/creator.go:34.76,36.2 1 1
github.com/jyggen/go-metron/creator.go:38.84,40.2 1 1
github.com/jyggen/go-metron/filter.go:11.50,12.29 1 0
github.com/jyggen/go-metron/filter.go:12.29,14.3 1 0
github.com/jyggen/go-metron/filter.go:17.61,18.29 1 0
github.com/jyggen/go-metron/filter.go:18.29,20.3 1 0
github.com/jyggen/go-metron/filter.go:23.39,24.29 1 0
github.com/jyggen/go-metron/filter.go:24.29,26.3 1 0
github.com/jyggen/go-metron/imprint.go:21.39,23.2 1 0
github.com/jyggen/go-metron/imprint.go:31.76,33.2 1 1
github.com/jyggen/go-metron/imprint.go:35.84,37.2 1 1
github.com/jyggen/go-metron/issue.go:61.37,63.2 1 0
github.com/jyggen/go-metron/issue.go:81.95,83.2 1 1
github.com/jyggen/go-metron/issue.go:85.101,87.2 1 1
github.com/jyggen/go-metron/issue.go:89.101,91.2 1 1
github.com/jyggen/go-metron/issue.go:93.98,95.2 1 1
github.com/jyggen/go-metron/issue.go:97.96,99.2 1 1
github.com/jyggen/go-metron/issue.go:101.72,103.2 1 1
github.com/jyggen/go-metron/issue.go:105.80,107.2 1 1
github.com/jyggen/go-metron/publisher.go:20.41,22.2 1 0
github.com/jyggen/go-metron/publisher.go:30.80,32.2 1 1
github.com/jyggen/go-metron/publisher.go:34.88,36.2 1 1
github.com/jyggen/go-metron/role.go:10.78,12.2 1 1
github.com/jyggen/go-metron/series.go:32.38,34.2 1 0
github.com/jyggen/go-metron/series.go:45.74,47.2 1 1
github.com/jyggen/go-metron/series.go:49.81,51.2 1 1
github.com/jyggen/go-metron/series_type.go:10.90,12.2 1 1
github.com/jyggen/go-metron/team.go:21.36,23.2 1 0
github.com/jyggen/go-metron/team.go:31.70,33.2 1 1
github.com/jyggen/go-metron/team.go:35.78,37.2 1 1
github.com/jyggen/go-metron/universe.go:20.40,22.2 1 0
github.com/jyggen/go-metron/universe.go:30.78,32.2 1 1
github.com/jyggen/go-metron/universe.go:34.86,36.2 1 1
